ts,route,prompt_tok,completion_tok,price_per_1k,request_cost,cached,latency_ms,pii_hits,blocked
2025-12-04T18:05:32Z,/chat,148,59,0.002,0.000414,0,0,,0
2025-12-04T18:05:32Z,/chat,153,87,0.002,0.00048,0,0,,0
2025-12-04T18:05:32Z,/chat,155,45,0.002,0.0004,0,0,,0
2025-12-04T18:05:32Z,/chat,150,107,0.002,0.000514,0,0,,0
2025-12-04T18:05:32Z,/chat,163,143,0.002,0.000612,0,0,,0
2025-12-04T18:05:32Z,/chat,167,93,0.002,0.00052,0,0,,0
2025-12-04T18:05:32Z,/chat,161,129,0.002,0.00058,0,0,,0
2025-12-04T18:05:32Z,/chat,155,79,0.002,0.000468,0,0,,0
2025-12-04T18:05:32Z,/chat,139,65,0.002,0.000408,0,0,phone|email,0
2025-12-04T18:05:32Z,/chat,155,73,0.002,0.000456,0,0,,0
2025-12-04T18:05:32Z,/chat,180,101,0.002,0.000562,0,0,,0
2025-12-04T18:05:32Z,/chat,146,115,0.002,0.000522,0,0,,0
2025-12-04T18:05:32Z,/chat,147,87,0.002,0.000468,0,0,,0
2025-12-04T18:05:32Z,/chat,155,51,0.002,0.000412,0,0,email,0
2025-12-04T18:05:32Z,/chat,153,107,0.002,0.00052,0,0,,0
2025-12-04T18:05:32Z,/chat,148,93,0.002,0.000482,0,0,,0
2025-12-04T18:05:32Z,/chat,154,42,0.002,0.000392,0,0,,1
2025-12-04T18:05:32Z,/chat,158,121,0.002,0.000558,0,0,,0
2025-12-04T18:05:32Z,/chat,146,59,0.002,0.00041,0,0,phone,0
2025-12-04T18:05:32Z,/chat,153,101,0.002,0.000508,0,0,,0
2025-12-04T18:05:32Z,/chat,144,115,0.002,0.000518,0,0,,0
2025-12-04T18:05:32Z,/chat,159,107,0.002,0.000532,0,0,,0
2025-12-04T18:05:32Z,/chat,159,42,0.002,0.000402,0,0,,1
2025-12-04T18:05:32Z,/chat,147,93,0.002,0.00048,0,0,,0
2025-12-04T18:05:32Z,/chat,155,129,0.002,0.000568,0,0,,0
2025-12-04T18:05:32Z,/chat,145,51,0.002,0.000392,0,0,phone,0
2025-12-04T18:05:32Z,/chat,153,79,0.002,0.000464,0,0,,0
2025-12-04T18:05:32Z,/chat,149,101,0.002,0.0005,0,0,,0
2025-12-04T18:05:32Z,/chat,162,121,0.002,0.000566,0,0,,0
2025-12-04T18:05:32Z,/chat,146,87,0.002,0.000466,0,0,,0
2025-12-04T18:05:32Z,/chat,152,107,0.002,0.000518,0,0,,0
2025-12-04T18:05:32Z,/chat,152,93,0.002,0.00049,0,0,,0
2025-12-04T18:05:32Z,/chat,145,115,0.002,0.00052,0,0,,0
2025-12-04T18:05:32Z,/chat,149,31,0.002,0.00036,0,0,,0
2025-12-04T18:05:32Z,/chat,171,129,0.002,0.0006,0,0,,0
2025-12-04T18:05:32Z,/chat,150,45,0.002,0.00039,0,0,,0
2025-12-04T18:05:32Z,/chat,164,107,0.002,0.000542,0,0,,0
2025-12-04T18:05:32Z,/chat,149,101,0.002,0.0005,0,0,,0
2025-12-04T18:05:32Z,/chat,143,51,0.002,0.000388,0,0,phone,0
2025-12-04T18:05:32Z,/chat,162,135,0.002,0.000594,0,0,,0
