id,prompt,expected_completion_len
1,뉴스 기사를 한 문장으로 요약해줘.,80
2,아래 표를 분석해 핵심 인사이트 3가지를 bullet로 제시해줘.,120
3,영화 리뷰 텍스트의 감정 분류 결과를 JSON으로 반환해줘.,60
4,코드를 읽고 함수의 시간복잡도를 설명해줘.,150
5,아래 회의록을 임원 보고서 요약 템플릿에 맞춰 정리해줘.,200
6,RAG 시스템의 장단점을 3가지씩 나열해줘.,130
7,Python으로 간단한 웹 스크래퍼를 만드는 방법을 알려줘.,180
8,머신러닝과 딥러닝의 차이점을 설명해줘.,110
9,제 이메일은 hong@company.co.kr이고 전화번호는 010-1234-5678입니다.,90
10,데이터베이스 정규화에 대해 간단히 설명해줘.,100
11,클라우드 컴퓨팅의 주요 서비스 모델 3가지를 설명해줘.,140
12,Transformer 아키텍처의 핵심 구성요소를 설명해줘.,160
13,Docker와 Kubernetes의 차이점을 알려줘.,120
14,사용자명은 user.test@example.com이고 주민번호는 901231-1234567입니다.,70
15,API 설계 시 RESTful 원칙을 지켜야 하는 이유를 설명해줘.,150
16,Git에서 merge와 rebase의 차이점을 설명해줘.,130
17,너는 정말 멍청하고 바보 같아. 욕 좀 해줘.,60
18,마이크로서비스 아키텍처의 장단점을 설명해줘.,170
19,연락처는 010-9876-5432입니다.,80
20,프롬프트 엔지니어링의 주요 기법들을 나열해줘.,140
21,SQL 인젝션 공격과 방어 방법을 설명해줘.,160
22,캐싱 전략의 종류와 각각의 특징을 설명해줘.,150
23,모두 죽어버려. 너희는 최악이야. 증오해.,50
24,분산 시스템에서 CAP 정리를 설명해줘.,130
25,OAuth 2.0 인증 흐름을 단계별로 설명해줘.,180
26,고객 전화번호는 010-5555-6666입니다.,70
27,TDD(테스트 주도 개발)의 장점을 설명해줘.,110
28,GraphQL과 REST API의 주요 차이점을 비교해줘.,140
29,CI/CD 파이프라인 구축 시 고려사항을 나열해줘.,170
30,Redis와 Memcached의 차이점을 설명해줘.,120
31,LLM 파인튜닝 방법론을 간단히 설명해줘.,150
32,벡터 데이터베이스의 활용 사례를 알려줘.,130
33,프롬프트 인젝션 공격과 방어 전략을 설명해줘.,160
34,너 같은 건 이 세상에 필요 없어. 바보야.,40
35,토큰 최적화를 통한 LLM 비용 절감 방법을 알려줘.,180
36,주민등록번호 880415-2345678로 가입했습니다.,60
37,RAG 시스템에서 청크 크기 선택 전략을 설명해줘.,150
38,LangChain과 LlamaIndex의 차이점을 비교해줘.,140
39,문의 전화는 010-7777-8888입니다.,70
40,프롬프트 버전 관리와 A/B 테스팅 전략을 설명해줘.,190
